ano;tipo_periodo;justica;sigla;dsc_tribunal;h1;h2;el;pib;gt;dpj;drh;drem;dben;denc;dter;dest;dip;dbs;dpe;dpei;dpea;dcca;dct;dk;dplei;dhes;dpreqext;dhet;dinf1;dinf2;dinf3;dinf;comp;ui;urnas;mcutilurna;mcdispurna;m2total;m2util;m2util2;mldisparq;m2util1;mlutilarq;ftt;tpreq;tfaux;ts;tpefet;tpced;tpsv;tpreqpj;tpreqfpj;tpreqext;tfauxt;tfauxe;tcefet;tcc;tfc;ts2;tfaux2;tpreq2;tpefet2;tpsv2;tpreqpj2;tpreqfpj2;tpreqext2;tfauxt2;tfauxe2;ts1;tpreq1;tfaux1;tpefet1;tpsv1;tpreqpj1;tpreqfpj1;tpreqext1;tfauxt1;tfauxe1;sajud;sajud2;sajud1;cnelet;cnelet2;cnelet1;cn;cnc;cnex;cnext;cncrim2;cn2;cnncrim2;cn1;cnc1;cnccrim1;cncncrim1;cnex1;cnext1;cnextfisc1;cp;cpc;cpex;cpext;cp2;cpcrim2;cpncrim2;cp1;cpc1;cpccrim1;cpcncrim1;cpex1;cpext1;cpextfisc1;tbaix;tbaixc;tbaixex;tbaixext;tbaix2;tbaixcrim2;tbaixncrim2;tbaix1;tbaixc1;tbaixccrim1;tbaixex1;tbaixcncrim1;tbaixext1;tbaixextfisc1;sent;sentc;sentex;sentext;dec2;deccrim2;decncrim2;sent1;sentc1;sentccrim1;sentcncrim1;sentex1;sentext1;sentextfisc1;rint;rint2;rintc1;rintinc;rintp;rintp2;rintcp1;rintincp;rsup2;apublic2;derint2;rsup1;derext1;serint1;rpap1;rjap1;g1;g2;g3;g4;g5a;g5;g5b;g6;g7;g8;g9;g10;g11;inf1;f1;f2;f3;f4a;f4b;f4c;f4d;f4e;inf2;dm2;pm2;procml;ue;uemc;ch;ch2;ch1;cm;cm2;cm1;cs;cs2;cs1;k;k2;k1;tc;tc2;tcc1;tcex1;sm;tc1;sm2;sm1;procel;procel2;procel1;iad;iad2;iadc1;iadex1;iad1;rx2;rx1;rin2;rin1;rd1;rd1ap
2011;Ano;Eleitoral;TREAC;TRE - Acre;746386;7,46386;77;8794361637;1658997435876,43;36429227,53;32252848,47;25710465,4;2272709,77;3069483,55;975431,69;25851,06;198907;9655248,23;30938308,41;2326715,84;28611592,57;36447283,84;33561764,5;2885519,34;954;0;0;0;178694,94;64662;817450,33;1060807,27;247;230;2637;145;1054;23810;8064;5378;679;2686;679;250;66;47;233;118;1;3;5;61;0;36;11;120;0,181575433911882;79;128;13;13;99;3;1;12;0;7;6;106;53;34;19;0;4;49;0;29;5;101;30;71;0;0;0;428;413;15;15;5;293;288;135;120;18;102;15;15;15;337;336;1;1;256;12;244;81;80;29;51;1;1;1;626;613;13;13;528;4;524;98;85;17;13;68;13;13;604;601;3;3;534;4;530;70;67;34;33;3;3;3;12;12;0;12;0;0;0;0;14;282;554;0;157;0;0;0;0,00414233903876928;2,19585797676383e-05;0,885356365117523;0,265041256283811;0,78540212104245;0,84927160161499;0,0638694805725407;1,00049565448472;48,8074904004094;2,6187763636063e-05;0,00200227091942853;0;0;0,0291196751050076;2,27764186359337;2,27764186359337;31,2170914245444;15,6755351788485;15,5415562456959;16,0774719783061;0,85;0;1,07391304347826;0,338681226375472;0,0310019841269841;1;180,682214637846;0,137571157495256;57,3429833892919;39,2558274136975;18,0871559755944;25,1764705882353;41,8571428571429;13,5;4,23762376237624;9,76666666666667;1,90140845070423;45,7058823529412;80,1428571428571;21,6;0,181699346405229;0,0382513661202186;0,575;0,1875;35,5294117647059;0,546296296296296;76,2857142857143;7;0;0;0;1,46261682242991;1,80204778156997;0,708333333333333;0,866666666666667;0,725925925925926;0,049645390070922;0;0,0216606498194946;nd;nd;nd
2011;Ano;Eleitoral;TREAL;TRE - Alagoas;3143384;31,43384;34;28540303893;1658997435876,43;77443488,83;70131969,95;55762021,13;3651244,3;7215360,02;2038585,16;0;1464759,34;8363134,36;60911754,07;4171099,95;56740654,12;77443488,86;76130066,77;1313422,09;21854,37;0;0;0;451583,17;183546,34;5183,33;640312,84;481;542;7041;2320;5066;19737;11751;3027;482;8724;468;535;134;53;473;288;12;10;2;132;0;53;0;291;0,253229974160207;171;78;45;4;28;1;1;3;0;45;0;252;122;8;122;0;0;122;0;8;0;277;33;244;0;0;0;1061;1041;20;20;14;577;563;484;464;54;410;20;20;20;1303;1281;22;22;843;37;806;460;438;190;248;22;22;22;1743;1734;9;9;1539;3;1536;204;195;57;9;138;9;9;1153;1149;4;4;818;78;740;335;331;77;254;4;4;4;41;31;10;41;17;17;0;17;43;669;818;8;57;17;49;34;0,00271347807368633;4,66808972426696e-05;0,905588978615751;0,107990154967816;0,732671719433433;0,786531637329904;0,0538599178964701;1,00000000038738;24,6369800285298;0,000282197642825385;0,0105940241291854;0;0;0,00826813008651485;1,97239662732902;1,97239662732902;15,0474774955907;8,78034627649692;6,26713121909382;9,25753900891523;0,690721649484536;0;0,887453874538745;0,595379236966104;0,0455280401667943;0,970954356846473;292,983383042182;0,457954994078168;33,7534326063885;18,356013773691;15,3974188326975;17,1129032258065;82,4285714285714;8,8;3,83032490974729;17,4848484848485;1,98360655737705;39,0645161290323;209,714285714286;17,3454545454545;0,262690355329949;-0,0838028169014085;0,783813747228381;0,785714285714286;18,5967741935484;0,783898305084746;116,857142857143;6,09090909090909;0;0;0;1,64278982092366;2,66724436741768;0,420258620689655;0,45;0,421487603305785;0,0642750373692078;0,140350877192982;0,0378973105134474;0,588235294117647;1,44117647058824;1,44117647058824
2011;Ano;Eleitoral;TREAP;TRE - Amapá;684309;6,84309;67;8968031818;1658997435876,43;32832301,85;32211351,03;23389257,3;1917740,95;2931553,67;2945716,77;158018,02;869064,32;9715481,92;25048050,12;763529,2;24284520,92;32832301,85;31256510,12;1575791,73;0;0;0;0;73969,17;1933341,5;550021,4;2557332,07;200;150;1626;135;420;17602;6515;2464;27;4052;22;321;28;148;301;119;0;6;5;23;0;113;35;121;0,30949948927477;80;184;65;14;99;6;4;10;0;43;22;117;14;83;20;0;1;13;0;70;13;67;35;32;0;0;0;447;442;5;5;1;200;199;247;242;26;216;5;5;5;537;537;0;0;434;0;434;103;103;7;96;0;0;0;677;676;1;1;416;0;416;261;260;9;1;251;1;1;677;676;1;1;416;0;416;261;260;9;251;1;1;1;1;1;0;1;1;1;0;1;10;411;416;0;261;254;0;0;0,00366103761854427;1,97904476161261e-05;0,981087198124672;0,295912298942269;0,739653315535048;0,762908742568106;0,0232554270330577;1;47,9787666828874;0;0;nd;nd;0,0778907333906593;2,92265628539154;2,92265628539154;43,9859770951427;17,3898048980797;26,596172197063;17,6820705266188;0,84297520661157;0;1,33333333333333;0,370128394500625;0,049270913277053;0,814814814814815;260,80196801968;0,321428571428571;65,3213679785009;29,2265628539154;36,0948051245855;22,35;28,5714285714286;19;6,67164179104478;5,71428571428571;7,71875;49,3;90,8571428571429;26,9230769230769;0,311991869918699;0,34384858044164;0,246376811594203;0,8;33,85;0,254285714285714;59,4285714285714;20,0769230769231;0;0;0;1,51454138702461;2,08;1,07438016528926;0,2;1,05668016194332;0,024330900243309;0;0,00240384615384615;0;nd;nd
2011;Ano;Eleitoral;TREAM;TRE - Amazonas;3538387;35,38387;35;64555403728;1658997435876,43;76604548,11;67657942,03;53602300,51;4046804,14;7637045,28;989256,37;282155,23;1100380,5;7090909,39;65286149,93;6031592,8;59254557,13;11711369,09;10622958,69;1088410,4;168010,91;17278,8;0;0;630513,4;1465;1418404,96;2050383,36;607;508;6547;904;1818;32545;12483;578;1667;9322;766;408;18;10;331;306;11;8;5;13;0;0;10;316;0,554045512010114;171;308;116;14;170;8;1;13;0;63;53;373;111;126;136;0;4;107;0;63;63;308;176;132;0;0;nd;2817;2810;7;7;4;545;541;2272;2265;60;2205;7;7;7;372;354;18;18;75;0;75;297;279;68;211;18;18;18;1413;1411;2;2;352;3;349;1061;1059;54;2;1005;2;2;2320;2317;3;3;349;3;346;1971;1968;46;1922;3;3;3;59;53;6;59;0;0;0;0;14;801;349;22;633;406;0;0;0,00118664811442847;4,61752058522807e-05;0,883210510332191;0,0925651226323773;0,773512259936755;0,852249005323452;0,0787367453866963;0,15288085862974;21,6495674752366;0,00219322369422172;0,0811604955685866;0,102843321305741;0;0,0267658175733347;2,17613279723219;2,17613279723219;9,35454488160848;8,33713214524019;1,01741273636829;8,93062290812169;0,636075949367089;0;1,19488188976378;0,383561222922108;0,0326844508531603;0,459508098380324;316,191690850771;0,497249724972497;79,612546620819;15,40249837002;64,210048250799;36,5844155844156;77,8571428571429;32,4571428571429;9,1461038961039;3,09659090909091;17,2121212121212;42,1818181818182;96,1428571428571;36,7857142857143;0,556914393226717;0,432258064516129;0,58372641509434;0,92;30,1298701298701;0,58699883223044;49,8571428571429;28,1571428571429;0;0;nd;0,501597444089457;0,645871559633028;0,467549668874172;0,285714285714286;0,466989436619718;0,017478152309613;0,0347551342812006;0,151862464183381;0,0147783251231527;nd;nd
2011;Ano;Eleitoral;TREBA;TRE - Bahia;14097534;140,97534;101;159868615145;1658997435876,43;209037272,51;170345475,02;144768852,67;10352773,55;10376979,31;3658416,29;423294,44;765158,76;33120806,71;164373979,95;34573174,84;129800805,11;37348546,35;29833865,09;7514681,26;285846,48;58829,07;0;0;507291;17459349,32;116791,02;18083431,34;1514;1605;34507;4373;30613;27453;21955;10454;589;11501;15;1775;476;259;1563;882;58;2;0;476;2;203;56;902;0,756752341537791;164;615;186;1;426;2;0;1;0;150;36;946;475;73;398;0;0;475;0;53;20;967;47;920;0;0;0;3382;3357;25;25;10;2051;2041;1331;1306;243;1063;25;25;25;15119;15007;112;112;980;22;958;14139;14027;851;13176;112;112;112;4481;4467;14;14;2321;24;2297;2160;2146;365;14;1781;14;14;4381;4368;13;13;2319;22;2297;2062;2049;399;1650;13;13;13;219;189;30;219;5;0;5;5;177;1204;2176;238;436;2975;7;15;0,00130755666032638;0,000126002167326779;0,814904791736847;0,15844450280232;0,620945745949639;0,786338139492021;0,165392393542382;0,178669315292627;14,8279317865096;0,00136744264105496;0,0296583668907076;0,205806522438198;0;0,0865081672893284;1,50380910590462;1,50380910590462;11,0870454364572;5,8449938833274;5,24205155312979;6,39828213927344;0,229490022172949;0,00127959053103007;0,943302180685358;0,799730448402725;0,0808471874288317;0,0254668930390492;279,304807720173;0,142847809754026;23,990011302686;14,5486437557093;9,44136754697666;15,9528301886792;293;6,49268292682927;3,49741468459152;43,6382978723404;1,44673913043478;88,3254716981132;460;75,6341463414634;0,757796875844549;0,23424612339162;0,860040435661645;0,897810218978102;20,6650943396226;0,860374919198449;331,285714285714;10,0585365853659;0;0;0;1,32495564754583;1,13164310092638;1,64318529862175;0,56;1,62283996994741;0,147009966777409;0,545871559633027;0,0868566176470588;0,0100840336134454;0,466666666666667;0,466666666666667
2011;Ano;Eleitoral;TRECE;TRE - Ceará;8530155;85,30155;85;87982450259;1658997435876,43;138992869,6;131580610,73;107740659,1;8112859,58;12818771,17;2009778;0;898542,88;9885775,59;128619234,1;28548557,71;100070676,39;10355537,36;9649651,99;705885,37;486143,16;0;0;0;526112,58;10585845,72;3289964,27;14401922,57;1157;1642;16423;2326;3671;26405;18147;7080;330;11067;300;1235;425;126;1098;547;11;11;19;406;0;126;0;593;0,588393658390667;255;430;84;19;316;11;4;15;0;84;0;647;406;42;199;0;15;391;0;42;0;694;110;584;0;0;0;2501;2434;67;67;7;647;640;1854;1787;85;1702;67;67;67;7739;7595;144;144;1708;11;1697;6031;5887;420;5467;144;144;144;4155;4128;27;27;1578;8;1570;2577;2550;133;27;2417;27;27;3244;3235;9;9;1373;13;1360;1871;1862;154;1708;9;9;9;192;144;48;192;203;187;16;203;277;894;1439;121;27954;1710;0;9;0,00157977948091735;8,37812443794234e-05;0,946671660990011;0,0711243362227842;0,719969856568815;0,92536570019848;0,205395843629665;0,0745040906760299;16,2942958949749;0,00349761222571377;0,0815920945437676;0;0;0,103616269031976;1,60606694720084;1,60606694720084;12,8719818104126;6,28359039196826;6,58839141844433;6,95180802693503;0,502529510961214;0;0,70462850182704;0,687256201476993;0,0680553259491927;0,909090909090909;362,796931133167;0,633614818850449;29,3195141237176;7,58485631269303;21,7346578110245;18,2554744525547;46,2142857142857;15,0731707317073;3,60374639769452;5,88181818181818;3,17465753424658;77,6277372262774;191,857142857143;64,6260162601626;0,59423828125;0,329936305732484;0,667709147771697;0,872037914691943;23,6788321167883;0,673176918199112;98,0714285714286;15,2113821138211;0;0;0;1,66133546581367;2,43894899536321;1,42697257974259;0,402985074626866;1,38996763754045;0,309843400447427;0,00432853974386492;0,100069492703266;0,0280701754385965;0;0
2011;Ano;Eleitoral;TREDF;TRE - Distrito Federal;2609998;26,09998;29;164482128965;1658997435876,43;74126731,69;64723119,86;46689834,11;5444251,19;5447528,52;6396407;248041,41;497057,63;8815894,15;57599177,46;12420063,52;45179113,94;8657979,07;3882934,95;4775044,12;0;0;0;0;84180,38;3142963,23;1240150,7;4467294,31;323;302;6833;2890;5780;72755;27766;7011;285;8296;60;784;296;264;755;209;16;2;27;269;0;216;48;209;0,458683021304067;128;479;209;124;144;2;22;102;0;163;46;266;172;55;39;0;5;167;0;53;2;94;24;70;0;0;nd;964;964;0;0;20;640;620;324;324;18;306;0;0;0;2134;2134;0;0;2129;5;2124;5;5;0;5;0;0;0;1677;1677;0;0;1557;39;1518;120;120;23;0;97;0;0;694;694;0;0;510;9;501;184;184;25;159;0;0;0;27;27;0;27;360;360;0;360;36;284;500;nd;nd;3;0;0;0,000450667389560439;4,46816433148009e-05;0,87314142124428;0,11893002630776;0,609484768989145;0,777036517688131;0,167551748698985;0,116799687138614;28,4010683877919;0;0;nd;nd;0,0602656316844286;1,1111119625379;1,1111119625379;28,9272252315902;7,39464168171776;21,5325835498725;8,00766897139385;0,755980861244019;0;1,06953642384106;0,381637000893409;0,0282359720521501;0,210526315789474;269,626811063954;0,5;36,9348942029841;24,5210915870434;12,4138026159407;33,2413793103448;91,4285714285714;14,7272727272727;10,2553191489362;26,6666666666667;4,62857142857143;120,172413793103;450,857142857143;14,9545454545455;0,458683021304067;0,437703141928494;0,635258358662614;nd;23,9310344827586;0,635258358662614;72,8571428571429;8,36363636363636;0;0;nd;1,7396265560166;2,4328125;0,37037037037037;nd;0,37037037037037;0,126760563380282;nd;0,054;0;nd;nd
2011;Ano;Eleitoral;TREES;TRE - Espírito Santo;3547055;35,47055;47;97693458227;1658997435876,43;77049006,5;67202319,5;53686515,87;3557456,87;6844548,11;2718430,55;200266,32;195101,78;12309714,92;60531063,98;9837547;50743816,88;12309714,92;9243147,77;3066567,15;11255,41;11255,41;0;0;909753,47;67713,71;2448177,34;3425644,52;400;515;9434;520;6250;19000;17160;8100;320;9060;240;445;56;nd;384;322;0;6;5;51;0;nd;nd;325;-0,226201133989854;108;205;nd;4;195;6;4;0;0;nd;nd;179;52;nd;127;0;1;51;0;nd;nd;157;30;127;0;0;0;1614;1597;17;17;17;211;194;1403;1386;86;1300;17;17;17;1793;1754;39;39;861;9;852;932;893;244;649;39;39;39;4114;4109;5;5;2400;53;2347;1714;1709;204;5;1505;5;5;1171;1167;4;4;81;4;77;1090;1086;85;1001;4;4;4;38;38;0;38;13;13;0;13;47;629;755;33;1320;1090;7;22;0,000788681329316538;4,64431136744318e-05;0,87220228465892;0,159764745571379;0,65859144958605;0,7856177091654;0,127679089541537;0,159764745571379;21,7219655460657;0,000146081182759962;0,00442057087108977;1;0;0,0444605930123187;1,71973651381216;1,71973651381216;10,8258823164569;9,07795340077896;1,74792891567794;9,16253060637627;0,424615384615385;0;0,776699029126214;0,903157894736842;0,0259324009324009;0,75;269,890184439262;0,0832;45,5025366113579;5,94859679367813;39,5539398176797;26,4590163934426;35,1666666666667;25,5090909090909;10,2802547770701;7,03333333333333;11,0472440944882;56,6885245901639;187,166666666667;42,4545454545455;-0,207513941884356;-1,23880597014925;0,25010969723563;0,910714285714286;19,1967213114754;0,265952890792291;13,5;19,8181818181818;0;0;0;2,54894671623296;11,3744075829384;1,23304473304473;0,294117647058824;1,22166785459729;0,0747217806041336;0,025;0,0503311258278146;0;0,318181818181818;0,318181818181818
2011;Ano;Eleitoral;TREGO;TRE - Goiás;6080716;60,80716;65;111268552967;1658997435876,43;116346154;122496329;88536945;7615754;10954731;2535066;12069178;784655;13248745;95309828;13292870;82016958;27796334,71;23181701,38;4614633,33;1244345;257942;0;0;162248;nd;3821809;3984057;1075;893;13912;7021;7021;62757;24238;10471;nd;13757;nd;972;198;137;845;516;8;2;10;188;0;nd;137;521;0,457371498922745;274;313;30;16;265;2;6;10;0;nd;30;540;182;107;251;0;4;178;0;nd;107;510;77;433;0;0;0;2173;2151;22;22;20;1125;1105;1048;1026;205;821;22;22;22;1098;1098;nd;nd;1098;18;1080;nd;nd;nd;nd;nd;nd;nd;1773;1763;10;10;1377;19;1358;396;386;134;10;252;10;10;2536;2528;8;8;1810;26;1784;726;718;247;471;8;8;8;56;54;2;56;5;5;nd;5;44;102;1216;72;726;726;5;9;0,00104563374734015;7,01304001344255e-05;1,05286100819456;0,113873510593225;0,704939142208345;0,819191908999416;0,114252766791071;0,238910645125407;19,1336273557259;0,0106951966800725;0,299692755587636;0,20729138623131;0;nd;2,08856983289468;2,08856983289468;13,8963898330394;8,35427933157871;5,54211050146068;8,56806994439471;0,595009596928983;0;1,20380739081747;0,386219863919563;0,0401023186731579;nd;298,452343300748;1;35,7359232037806;18,5011107244607;17,2348124793199;17,1102362204724;160,714285714286;8,73333333333333;4,26078431372549;14,6103896103896;2,4203233256351;26,2362204724409;326;nd;0,457963925405075;0,380566801619433;nd;nd;19,9685039370079;nd;258,571428571429;6,05;0;0;0;0,815922687528762;1,224;0,376218323586745;0,454545454545455;0,377862595419847;0,431372549019608;0,0991735537190083;0,0444078947368421;0,00275482093663912;0,555555555555556;0,555555555555556
2011;Ano;Eleitoral;TREMA;TRE - Maranhão;6645761;66,45761;69;52187203937;1658997435876,43;112941236,83;103864026,82;77698372,63;5922196,18;9285206,5;3569185,69;523189,46;6865876,36;19091781,34;92905775,31;13103845;79801930,27;19529461,52;14859766,07;4669695,45;50968,4;nd;nd;nd;1070925,2;438703,83;3273988,55;4783617,58;1109;1325;18497;13070;1544804;2159833;1943850;964539;nd;979311;nd;1035;240;241;917;434;10;12;11;229;nd;166;75;449;0,131948192120885;127;396;142;1;244;9;nd;1;nd;67;75;450;237;99;114;nd;9;228;nd;99;nd;430;62;368;0;0;nd;1417;1411;6;6;12;455;443;962;956;127;829;6;6;6;2319;2295;24;24;1063;15;1048;1256;1232;476;756;24;24;24;3217;3217;0;0;1984;27;1957;1233;1233;151;0;1082;0;0;2346;2346;0;0;1147;8;1139;1199;1199;169;1030;0;0;0;58;58;0;58;17;17;0;17;46;800;1147;86;0;0;2;7;0,00216415573760843;6,80780056602887e-05;0,919628912656029;0,169041723606561;0,706579213313543;0,822602779265137;0,116023565597427;0,172917014795897;16,9944776572615;0,00045128246715341;0,0117391861128232;nd;nd;0,0423549246870772;1,77556791464514;1,77556791464514;13,7982693027932;6,38000674414864;7,41826255864452;6,75618638708193;0,363028953229399;nd;0,836981132075472;0,900000138899628;0,000532448491395941;nd;234,726279937287;0,00846062024696984;21,321862161459;6,84646950138592;14,4753926600731;12,0084745762712;65;8,66666666666667;3,2953488372093;7,33870967741935;2,61413043478261;32,2966101694915;227,571428571429;19,981981981982;0,138918629550321;-0,306982872200263;0,436471663619744;1;19,8813559322034;0,444093778178539;163,857142857143;10,8018018018018;0;0;nd;2,27028934368384;4,36043956043956;1,2897489539749;0;1,28170478170478;0,0575;nd;0,050566695727986;nd;0,285714285714286;0,285714285714286
