Chave;ano;Sigla;dsc_tribunal;secao;trib;cn1;CnCCrim1;CnCNCrim1;CnExtFisc1;CnExtNFisc1;ExeJudCrimPL1;ExeJudCrimNPL1;ExeJudNCrim1;cp1;CpCCrim1;CpCNCrim1;CpExtFisc1;CpExtNFisc1;ExeJudPCrimPL1;ExeJudPCrimNPL1;ExeJudPNcrim1;cntr;CnCrimTR;CnNCrimTR;cptr;CpCrimTR;CpNCrimTR;cnje;CnCCrimJE;CnCNCrimJE;ExeJudJE;cpje;CpCCrimJE;CpCNCrimJE;ExeJudPJE;Tram;Dpj;DPeI;dpji;MagPAe1;MagPAeJE;MagPAeTR;MagPAcJE1;MagPAcTR1;MagPAcTRJE;MagAJ1;MagAJJE;MagAJTR;Mag;TPEfet;TPCed;TPReq;TPSV;Serv;tbaix1;TBaixCCrim1;TBaixCNCrim1;TBaixExtFisc1;TBaixExtNFisc1;TBaixJudCrimNPL1;TBaixJudCrimPL1;TBaixJudNCrim1;tbaixtr;TBaixCrimTR;TBaixNCrimTR;tbaixje;TBaixCCrimJE;TBaixCNCrimJE;TbaixJudJE;Tbaix
DF2012;2012;TRF1;TRF 1ª Região;DF;0;33820;3995;16492;11675;966;3;0;689;182942;3844;51970;93604;7357;63;124;25980;10191;5;10186;17536;6;17530;16020;83;15937;0;39920;119;39801;0;300429;211457361,5;42440016,45;169017345;30;8;3;1;0;1;3;1;0;39;690;69;96;2;719;59659;4457;29572;17387;1918;50;36;6239;11046;7;11039;31144;95;31049;0;101849
GO2012;2012;TRF1;TRF 1ª Região;GO;0;22884;2999;6768;12609;400;7;0;101;120810;3439;13749;94234;3771;258;176;5183;11353;0;11353;12294;3;12291;31689;59;31630;0;45725;79;45646;0;244755;149826587,2;15834381,23;133992206;16;4;3;7;5;0;0;1;0;34;564;8;30;2;588;24161;3888;10290;7767;341;46;103;1726;6218;2;6216;51860;66;51794;0;82239
MT2012;2012;TRF1;TRF 1ª Região;MT;0;13968;3508;4417;5401;603;2;1;36;55428;5981;13901;29064;2899;373;18;3192;4745;2;4743;5091;3;5088;13453;52;13401;0;21290;121;21169;0;113975;80057576,65;7750935,34;72306641,31;12;0;0;1;5;0;0;1;0;17;317;2;14;1;330;18366;4324;8137;4495;357;12;164;877;3253;2;3251;18706;96;18610;0;40325
MG2012;2012;TRF1;TRF 1ª Região;MG;0;70548;10772;29479;27960;1278;56;6;997;377404;17915;78983;239104;12852;598;531;27421;38878;9;38869;61005;12;60993;84967;262;84705;0;198983;358;198625;0;831785;434282851,5;54628670,29;379654181,3;80;9;8;5;10;5;3;2;0;112;1624;19;116;5;1726;113692;17465;58683;25198;1752;250;389;9955;20227;0;20227;159706;255;159451;0;293625
AC2012;2012;TRF1;TRF 1ª Região;AC;0;2558;993;750;590;214;0;7;4;10031;1021;1621;5992;465;132;94;706;2971;0;2971;5153;0;5153;8633;104;8529;0;7381;92;7289;0;36727;33550348,47;4758941,27;28791407,2;1;0;2;2;0;2;0;0;0;7;121;0;5;0;126;2732;1010;1180;291;82;18;19;132;2782;0;2782;9246;88;9158;0;14760
AM2012;2012;TRF1;TRF 1ª Região;AM;0;9571;2342;2032;4626;237;9;2;323;54959;3367;4825;42706;1337;165;192;2367;5698;1;5697;3746;0;3746;10197;25;10172;0;6858;71;6787;0;91029;58761485,47;7117229,13;51644256,34;1;0;3;0;7;1;0;0;0;12;243;4;17;0;256;13249;3016;3342;6001;99;37;90;664;3823;0;3823;14741;46;14695;0;31813
AP2012;2012;TRF1;TRF 1ª Região;AP;0;2610;620;685;1184;29;0;0;92;15185;1252;1839;10596;540;45;33;880;0;0;0;0;0;0;3782;29;3753;0;12296;41;12255;0;33873;29816321,71;2822015,5;26994306,21;6;2;0;0;0;0;0;0;0;8;117;1;17;1;134;1667;512;632;456;29;5;2;31;0;0;0;12978;37;12941;0;14645
PA2012;2012;TRF1;TRF 1ª Região;PA;0;23883;3998;6600;12843;256;4;0;182;90336;8075;13336;61271;2255;257;279;4863;9700;3;9697;19271;4;19267;45891;31;45860;0;67512;84;67428;0;256593;108828146,7;12193033,9;96635112,77;12;1;0;0;6;0;0;1;0;18;429;4;22;0;447;19691;4301;7098;6909;279;45;73;986;14689;1;14688;57305;46;57259;0;91685
RO2012;2012;TRF1;TRF 1ª Região;RO;0;7850;2242;2251;3076;64;205;0;12;31736;3244;5600;20199;834;443;57;1359;4243;8;4235;6523;2;6521;9035;79;8956;0;24811;174;24637;0;84198;46478861,36;3665127,71;42813733,65;6;2;4;0;0;0;0;0;0;12;187;7;25;0;205;8893;3005;2833;2490;102;23;242;198;3393;7;3386;15455;61;15394;0;27741
RR2012;2012;TRF1;TRF 1ª Região;RR;0;4095;1118;829;2022;77;1;0;48;9681;1455;1416;5833;497;51;23;406;1471;4;1467;2601;0;2601;3748;39;3709;0;8195;60;8135;0;29791;25542399,1;2807276,46;22735122,64;1;2;1;0;0;0;0;0;0;4;90;4;16;0;102;3782;1477;1246;817;79;10;23;130;1042;5;1037;9421;6;9415;0;14245
