ano;tipo_periodo;seq_orgao;justica;sigla;dsc_tribunal;h1;h2;pib;gt;dpj;drh;drem;dben;denc;dter;dest;dip;dbs;dpe;dpea;dpei;dcca;dct;dk;dplei;dhes;dhet;dpsva;dinf1;dinf2;dinf3;dinf;r;comp;ui;mcutilurna;mcdispurna;m2total;m2util;mldisparq;mlutilarq;ftt;tpreq;tfaux;ts;tpefet;tpced;tpsv;tpreqpj;tpreqfpj;tpreqext;tfauxt;tfauxe;tcefet;tcc;tfc;mag;mage;sajud;cnelet;cn;cnc;cnex;cncrim;cnncrim;cp;cpc;cpex;cpcrim;cpncrim;tbaix;tbaixc;tbaixex;tbaixcrim;tbaixncrim;sent;sentc;sentex;deccrim;decncrim;exejud;exejudp;tbaixjud;sentjud;agdda;dda;rint;rintp;derint;ag;demono;ed;depub;emb;dere;rsup1;derext1;serint1;rpap1;rjap1;apublic;rsup;dem;jg;g1;g2;g3;g4;g5;g5a;g5b;g6;g7;g8;g9;g11;g12;inf1;i;i1;f1;f2;f3;f4a;f4b;f4c;f4d;inf2;dm2;pm2;procml;uemc;ch;cm;cs;k;kc1;kex1;tc;tcc1;tcex1;sm;smc1;smex1;procel;iad;iadc1;iadex1;rx;rx3;rx1;rin;rina;rinb;rinc;rd1;rd1ap;a1;a2;el
2009;Ano;13221;Superior;TST;Tribunal Superior do Trabalho;191446848;1914,46848;3239404052999;1402517194252,1;665504440;562997292;446584605;32495836;56713697;19778119;3308482;4116553;102507147;535794139;424243157;111550981;49039737;23789626;25250111;nd;nd;nd;nd;4113751;19020154;2106237;25240142;11865;3379;4147;nd;nd;141400;96000;60000;63300;3649;418;1287;3622;2059;175;33;244;174;nd;697;590;2104;0,38632286255173;2065;27;27;1566;0;157335;157335;nd;nd;157335;206089;206089;nd;nd;206089;223025;223025;nd;nd;223025;221591;221591;nd;nd;221591;nd;nd;nd;nd;nd;nd;41526;0;265802;8119;68280;23132;242282;10275;178430;nd;nd;nd;nd;nd;nd;nd;6116;nd;0,000205440392464745;0,000474507152373903;0,845970752651928;0,154029245845452;0,805094762403088;0,637476073037169;0,1676186878633;0,0736880688579628;3,47618384398786;nd;nd;nd;nd;0,0379263314907411;1,78285812788867e-05;1,78285812788867e-05;0,0141031311207589;0,0141031311207589;1,89190892294032;0,984085149315177;0,907823773625147;1,09899955103988;1,11074144486692;0,814805883771401;0,678925035360679;0,0380104166666667;1,055;nd;82,1820790698001;5827,22222222222;100,469348659004;14998,1481481481;nd;nd;0,38632286255173;nd;nd;8207,07407407407;nd;nd;0;1,41751676359361;nd;nd;nd;nd;nd;0,156229072768452;0,118907439953134;0,0954755202615134;0,0575856078013787;nd;nd;nd;nd;NA
2010;Ano;13221;Superior;TST;Tribunal Superior do Trabalho;190732694;1907,32694;3770084871577;1489009684709,18;670874183;638569777;510436971;36691799;56765742;24010029;4111527;6553709;90303292;547128770;423027833;124100937;68364677;28121555;40243122;nd;nd;nd;nd;35201891;55255033;35746670;126203594;8367,22;3245;2342;nd;nd;141400;96000;59800;47000;3612;257;1407;3585;2060;170;31;89;168;nd;855;552;2103;0,530250815770486;2062;27;27;1576;71116;157068;157068;nd;nd;157068;214360;214360;nd;nd;214360;174478;174478;nd;nd;174478;169568;169568;nd;nd;169568;nd;nd;nd;nd;nd;nd;41219;0;211979;12957;46015;19884;190554;8378;131781;nd;nd;nd;nd;nd;nd;nd;9734;nd;0,000177946705671742;0,000450550583981614;0,951847295933282;0,134605406331458;0,815546020199141;0,63056209900389;0,18498392119525;0,101903872189996;3,51735284041025;nd;nd;nd;nd;0,188118125869214;1,24721150582717e-05;1,24721150582717e-05;0,0141559369994533;0,0141559369994533;1,87959385714963;0,990915589961729;0,8886782671879;1,10259020406853;1,11031859248692;1,38556789069172;0,678925035360679;0,037625;0,785953177257525;nd;82,3498041714862;5817,33333333333;99,6624365482234;15283,2222222222;nd;nd;0,530250815770486;nd;nd;6280,2962962963;nd;nd;0,452772047775486;1,11084371100415;nd;nd;nd;nd;nd;0,194448506691701;0,281582092795827;0,104348373689348;0,0635751739628626;nd;nd;nd;nd;NA
2011;Ano;13309;Militar Uniao;AudM;Auditoria Militar da União;192379287;1923,79287;4143013336541;1658997435876,43;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;434;nd;70;398;323;nd;5;nd;nd;nd;nd;70;nd;-0,123165618448637;nd;36;37;98;0;1813;1355;458;nd;nd;1371;553;818;nd;nd;2589;2143;446;nd;nd;1702;1115;587;nd;nd;458;818;446;587;nd;nd;0;0;nd;nd;nd;nd;nd;nd;nd;1028;5436;1115;252;566;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;0,019232839759927;0,0187130332799289;0,206882979039214;0,167897493039362;0,038985485999852;nd;nd;nd;nd;nd;nd;nd;0,704337780397325;37,6388888888889;13,8265306122449;88,4444444444444;53;35,4444444444444;0,186871859296482;-0,123165618448637;0,650470219435737;47,2777777777778;30,9722222222222;16,3055555555556;0;1,42801985659129;1,58154981549815;0,973799126637555;nd;nd;0,189109639440765;nd;nd;nd;nd;0,445229681978799;0,445229681978799;nd;nd;NA
2011;Ano;12728;Superior;STJ;Superior Tribunal de Justiça;192379287;1923,79287;4143013336541;1658997435876,43;894822181,05;805703260,55;640438817,58;27272783,07;77021843,99;50248527,3;6843675,93;3877612,68;100498947,11;717460661,5;495915668,5;221544993;214943049,23;185571592,61;29371456,62;nd;nd;nd;nd;21316334,91;23812241,58;3108838,43;48237414,92;44817525,07;4448;5470;nd;nd;151371;130834;7700;7700;5053;111;2286;5020;2660;112;75;39;72;nd;1677;609;2741;nd;1054;33;33;1445;160370;295102;295102;nd;54368;240734;nd;nd;nd;nd;nd;204667;204667;nd;45424;159243;229518;229518;nd;48354;181164;nd;nd;nd;nd;2253;3941;79297;nd;316186;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;64493;5969;nd;71201;0,000215983417952762;0,000539375264662344;0,900405999775926;0,112311640500544;0,801791324236195;0,554205828825213;0,247585495410982;0,240207556073076;4,65134368155757;nd;nd;nd;nd;0,0539072632993936;0,0500853979920461;0,0500853979920461;0,0171536138399349;0,0171536138399349;2,60942852959009;1,32446691103497;1,28496161855512;1,42478956167459;0,529004013133893;0,813162705667276;0,864326720441828;0,0386214592537108;1;nd;153,395931860377;8942,48484848485;204,222837370242;nd;nd;nd;nd;nd;nd;6955,09090909091;nd;nd;0,543439217626448;0,693546638111568;nd;nd;0,0925526801358287;0,571682314133469;nd;0,250792255191564;nd;nd;nd;nd;nd;7,95699989426408e-05;37,0107411823395;NA
2011;Ano;12991;Superior;TSE;Tribunal Superior Eleitoral;192379287;1923,79287;4143013336541;1658997435876,43;459330179,46;189453044,69;144403095,56;915672,15;18218366,24;20603344,31;414251,09;4898315,34;153980090,79;137222151,79;101367022,07;35855129,72;452363277,14;298383186,35;153980090,79;2901449,74;5562491,78;1583793,22;84439515,04;nd;nd;116394904,06;116394904,06;1819884,31;1682;1985;3904;3904;25683;20500;878;878;1847;52;1048;1840;779;48;9;30;22;nd;609;439;779;-0,106544638231739;274;14;7;142;0;3653;3653;nd;66;3587;2138;2138;nd;1;2137;6408;6408;nd;67;6341;8121;8121;nd;142;7979;nd;nd;nd;nd;nd;nd;2586;nd;5270;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;2484;275;nd;nd;0,000110868621978295;0,000276872145505964;0,412455033790128;0,335227463109484;0,298744036264549;0,220684437040844;0,0780595992237048;0,984832474260258;2,38762803741964;0,00631669737749655;0,0212505864886277;0,54586271068752;0,183831846492798;nd;0,00396203949006682;0,00396203949006682;0,00727729071997236;0,00363864535998618;0,956443923196368;0,379978536878557;0,576465386317811;0,404929247918462;0,454428754813864;0,84735516372796;0,798193357473815;0,0900975609756098;1;1;1,89885307143279;521,857142857143;25,7253521126761;1196,71428571429;nd;nd;-0,106544638231739;nd;nd;1160,14285714286;nd;nd;0;1,7541746509718;nd;nd;0,110708534621578;nd;nd;0,490702087286528;nd;nd;nd;nd;nd;nd;nd;11
2011;Ano;13221;Superior;TST;Tribunal Superior do Trabalho;192379287;1923,79287;4143013336541;1658997435876,43;661222552;659205922;522411250;38565295;56088953;30114960;3892625;8132839;113424748;568863803;433516194;135347609;55495715;33907092;21588623;nd;nd;nd;nd;19563504;62679251;10707449;92950204;9453,89;3311;4100;nd;nd;141400;96000;21900;12600;3478;262;1345;3451;1866;64;42;49;213;nd;808;537;2103;0,578880807671169;2011;27;27;1164;169673;169818;169818;nd;nd;169818;204988;204988;nd;nd;204988;157838;157838;nd;nd;157838;170068;170068;nd;nd;170068;nd;nd;nd;nd;nd;nd;34345;0;206965;7573;31398;19573;187613;7199;165625;nd;nd;nd;nd;nd;nd;nd;490;nd;0,000159599426380813;0,000398567555139519;0,996950149395388;0,171537930242887;0,860321235685863;0,655628264173301;0,204692971512563;0,0839289507475843;3,43707767250432;nd;nd;nd;nd;0,140573251349116;1,42975915921271e-05;1,42975915921271e-05;0,0140347749599467;0,0140347749599467;1,79385216247319;0,936691276956443;0,857160885516745;1,09315302743585;1,08559201141227;0,807560975609756;0,678925035360679;0,0362291666666667;0,575342465753425;nd;88,2724968203048;6289,55555555556;145,89175257732;15153,7407407407;nd;nd;0,578880807671169;nd;nd;6298,81481481481;nd;nd;0,999146144696086;0,929453885924931;nd;nd;nd;nd;nd;0,165945932887203;0,241193706605516;0,10432645925389;0,0434656603773585;nd;nd;nd;nd;NA
2011;Ano;13309;Superior;STM;Superior Tribunal Militar;192379287;1923,79287;4143013336541;1658997435876,43;322529770,36;296413974,12;244670279,21;14859100,23;21204989,05;10013058,57;1203365,75;4463181,31;43400261,07;279826088,21;148053020,83;131773067,38;56669640,17;47690382,98;8979257,19;nd;nd;nd;nd;2582766,68;639145,95;2485461,4;5707374,03;nd;1200;1200;nd;nd;35577;31654;2746;2498;578;5;66;563;467;16;41;2;3;nd;nd;66;801;0,361788617886179;332;15;15;73;0;797;797;nd;797;nd;433;433;nd;433;nd;785;785;nd;785;nd;808;808;nd;808;nd;nd;nd;nd;nd;nd;nd;215;63;1013;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;721;48;931;nd;7,78490784751564e-05;0,000194412458624212;0,919028261450563;0,134562031348479;0,867597703919439;0,459036760125265;0,408560943794175;0,175703595072004;1,67653064625403;nd;nd;nd;nd;0,0176956503073486;nd;nd;0,00779709719997039;0,00779709719997039;0,292651048238889;0,23443272247911;0,0582183257597789;0,416364990478419;0,530586766541823;1;0,889732130308907;0,0182599355531686;0,909686817188638;nd;0,414285764558427;53,1333333333333;10,9178082191781;100,533333333333;nd;nd;0,361788617886179;nd;nd;53,8666666666667;nd;nd;0;0,984943538268507;nd;nd;0,0665742024965326;nd;nd;0,212240868706811;nd;nd;nd;nd;nd;nd;nd;NA
2012;Ano;13309;Militar Uniao;AudM;Auditoria Militar da União;193917083;1939,17083;4,392094e+12;1712330299797,85;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;438;3;72;406;325;nd;6;3;nd;nd;nd;72;nd;0,456363636363636;nd;32;39;98;0;1698;1230;468;nd;nd;1909;970;939;nd;nd;1681;1196;485;nd;nd;1833;1295;538;nd;nd;468;939;485;538;nd;nd;0;0;nd;nd;nd;nd;nd;nd;nd;1030;4953;1295;223;627;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;0,0201116886643762;0,016501898391283;0,209367835839404;0,167597405536468;0,0417704303029352;nd;nd;nd;nd;nd;nd;nd;0,634291719414942;38,4375;12,5510204081633;112,71875;68,75;43,96875;0,533961741059052;0,456363636363636;0,655294953802416;57,28125;40,46875;16,8125;0;0,989988221436985;0,972357723577236;1,03632478632479;nd;nd;0,207954774883909;nd;nd;nd;nd;0,355661881977671;0,355661881977671;nd;nd;NA
2012;Ano;12728;Superior;STJ;Superior Tribunal de Justiça;193917083;1939,17083;4,392094e+12;1712330299797,85;908839508,39;844918405,26;619824967,93;75943794,36;77023038;53422981,26;5429951,71;13273672;137800644,08;691251787,22;478139535,39;213112251,83;180150844,72;169910037,36;10240807,36;nd;nd;nd;nd;11641179;28931509,62;3406630;43979318,62;17943100,34;4911;5513;nd;nd;144568;123941;8252;8924;4918;118;2110;4885;2718;134;73;46;72;nd;1600;510;2741;0,515138506384813;1054;33;33;1431;184017;261382;261382;nd;54188;207194;316317;316317;nd;68957;247360;280104;280104;nd;55522;224582;287293;287293;nd;49471;237822;nd;nd;nd;nd;1776;8488;87388;nd;371618;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;70678;6393;nd;89774;0,000206926242559927;0,000530761797824458;0,929667336708067;0,151622638329305;0,760587299340172;0,526098976745652;0,234488322594521;0,198220745309736;4,68674288169857;nd;nd;nd;nd;0,048390632464811;0,0197428700825144;0,0197428700825144;0,0170175827160106;0,0170175827160106;2,5191179262943;1,33252829509611;1,1865896311982;1,41349073407834;0,558190441444728;0,890803555233085;0,857319738808035;0,0396801704036598;1,08143480368396;nd;134,790600165948;7920,66666666667;182,656883298393;20154,1515151515;nd;nd;0,515138506384813;nd;nd;8705,84848484848;nd;nd;0,704015578731512;1,07162696742698;nd;nd;0,0904524746031297;0,20923656927427;nd;0,235155455333165;nd;nd;nd;nd;nd;9,87787163423757e-05;46,2950445680951;NA
2012;Ano;12991;Superior;TSE;Tribunal Superior Eleitoral;193917083;1939,17083;4,392094e+12;1712330299797,85;501353012,91;335683278,71;155705709,79;15750243,93;22110772,31;139315100,62;471714,57;2329737,49;165636222,58;193503092,64;155686404,14;37682910,74;323536530,81;273104676,96;50431853,85;53504925,67;14868340,82;11699374,41;116249114,45;54335274,08;248776822,43;176751726,62;479863823,13;nd;1682;1620;4739;8224;160000;35800;2400;2400;2038;99;1423;2031;626;125;8;99;0;nd;1366;57;779;0,449182472204055;274;14;7;nd;0;12793;12793;nd;61;12732;2497;2497;nd;5;2492;8422;8422;nd;73;8349;15880;15880;nd;98;15782;nd;nd;nd;nd;nd;nd;3834;nd;16505;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;1301;349;nd;nd;0,000114148971517914;0,000292789897468489;0,669554725046122;0,330378432591038;0,385961762784373;0,310532499318894;0,075162430003716;0,645326790662131;2,58539889912639;0,106721061392335;0,38042145529934;0,218659763816097;0,231870780580845;0,957137607181673;nd;nd;0,00721958054618633;0,00360979027309317;1,04735486352175;0,258357846688525;0,78899701683322;0,401718088962797;0,454428754813864;1,03827160493827;0,22375;0,056927374301676;1;0,576240272373541;6,59714956624012;1827,57142857143;nd;2732;nd;nd;0,449182472204055;nd;nd;2268,57142857143;nd;nd;0;0,658328773548034;nd;nd;0,268255188316679;nd;nd;0,232293244471372;nd;nd;nd;nd;nd;nd;nd;16
